X,Y,Name,description
-3.86402699019977,40.3090247557562,12 MANUELA MALASAÑA,
-3.86354543302905,40.3284970958031,12 MOSTOLES CENTRAL,
-3.78698230825216,40.2868353254141,12 PARQUE DE LOS ESTADOS,
-3.80632658635697,40.2851705632526,12 PARQUE EUROPA,
-3.82120108898331,40.3496796037955,12 PARQUE LISBOA,
-3.84934341143655,40.3458907397877,12 PARQUE OESTE,
-3.86489448986563,40.3216761168161,12 PRADILLO,
-3.81249525374088,40.3454257255014,12 PUERTA DEL SUR,
-3.77587633658345,40.336154514293,12 SAN NICASIO,
-3.87218854743164,40.3351170091402,12 UNIVERSIDAD REY JUAN CARLOS,
-3.62351440276472,40.4182844439094,2 ALSACIA,
-3.61207082845727,40.4223906617217,2 AVENIDA DE GUADALAJARA,
